UC_ID,Originating_Agency,Use_Case_Title,Primary_Service,Decision_Moment,Product,Data_Requirements,Narrative_Description
UC-01,DCCE,National Adaptation Compliance Dashboard,S07: การติดตามและประเมินผลการดำเนินนโยบาย,"Cabinet Reporting Mandate, NAP Statutory Requirement, UNFCCC Transparency Framework",Interactive Dashboard / GeoJSON,"Variables: NAP Progress Indicators, Sectoral Adaptation Targets, GGA Alignment Metrics; Resolution: National/Provincial; Return Periods: Annual Reporting Cycle",มุ่งเน้นการสร้างความชอบธรรมตามกฎข้อบังคับในการติดตามความก้าวหน้าของแผน NAP โดยใช้หลักฐานเชิงประจักษ์จากภาคส่วนต่างๆ เพื่อประเมินความเหมาะสมในการนำไปใช้งานของมาตรการปรับตัวในระดับชาติ
UC-02,DCCE,Provincial Risk Profiles,S01: คลังข้อมูลภูมิอากาศและบริการรับรองข้อมูลทางการ,"National Risk Communication Strategy, Provincial Development Plan Alignment",PDF Report + Web-GIS Layer,"Variables: Hazard Baselines, Provincial Vulnerability Index, Exposure Layers; Resolution: Provincial (with Sub-district drill-down); Return Periods: Baseline (Current) + Future Projections","จัดทำฐานข้อมูลความเสี่ยงระดับจังหวัดเพื่อรองรับ National Risk Communication Strategy, Provincial Development Plan Alignment โดยใช้ข้อมูลที่ผ่านการรับรองเพื่อสร้างความเหมาะสมในการนำไปใช้งานในแผนพัฒนาพื้นที่ ช่วยให้มีหลักฐานเชิงประจักษ์ในการจัดสรรทรัพยากร"
UC-03,TBA,Standardized Sectoral Damage Functions,S01: คลังข้อมูลภูมิอากาศและบริการรับรองข้อมูลทางการ,"BoT Physical Risk Framework, ICAAP Stress Testing, TCFD Compliance",Tabular (CSV/JSON) / API,"Variables: Sectoral Damage Functions, Depth-Damage Curves, Asset Type Classification; Resolution: Asset-level (Point/Building); Return Periods: None","สนับสนุนสถาบันการเงินในการประเมินความเสี่ยงเชิงกายภาพตาม BoT Physical Risk Framework, ICAAP Stress Testing, TCFD Compliance โดยใช้ฟังก์ชันความเสียหายมาตรฐาน เพื่อสร้างความชอบธรรมตามกฎข้อบังคับในการรักษาเสถียรภาพทางการเงิน"
UC-04,TBA,Asset-level Probabilistic Risk Maps,S08: มาตรฐานการจัดการความไม่แน่นอนและหลักฐานสนับสนุนการตัดสินใจทางการ,"BoT Stress Testing, Credit Risk Assessment, Collateral Valuation",GeoTIFF / Vector API,"Variables: Flood Depth, Flood Duration, Flood Type (Pluvial/Riverine/Coastal); Resolution: Asset-level (Point Location); Return Periods: ['Probabilistic (Return Periods 10, 50, 100y)']",ยกระดับการบริหารความเสี่ยงระดับสินทรัพย์ด้วยแผนที่ความเสี่ยงเชิงความน่าจะเป็น เพื่อใช้เป็นหลักฐานสนับสนุนการตัดสินใจทางการในการประเมินหลักประกันภายใต้ความไม่แน่นอนของข้อมูล
UC-05,OTP,Climate-Adjusted Engineering Parameters,S05: ตัวแปรทางวิศวกรรมเพื่อการออกแบบโครงสร้างพื้นฐาน,"Infrastructure Design Code Revision, Bureau of Budget (BoB) Justification, Technical Necessity Audit",Technical Tables / Engineering Manuals,"Variables: Rainfall Intensity, Peak Flow, Temperature Extremes; Resolution: Infrastructure Network Level; Return Periods: ['50-year', '100-year Future Return Periods']",ปรับปรุงพารามิเตอร์ทางวิศวกรรมสำหรับ Climate-Adjusted Engineering Parameters เพื่อสร้างความชอบธรรมตามกฎข้อบังคับในการออกแบบโครงสร้างพื้นฐานที่ทนทาน โดยใช้หลักฐานเชิงประจักษ์ทางวิทยาศาสตร์แทนการคาดเดา
UC-06,OTP,Highway KM-marker Hazard Projections,S05: ตัวแปรทางวิศวกรรมเพื่อการออกแบบโครงสร้างพื้นฐาน,"Maintenance Cycle Planning, Critical Route Resilience Audit",GIS Layer (SHP/GeoJSON),"Variables: Inundation Depth at KM, Landslide Risk at KM; Resolution: KM-marker (Point/Segment); Return Periods: Annual Max / 100-year Projection",ปรับปรุงพารามิเตอร์ทางวิศวกรรมสำหรับ Highway KM-marker Hazard Projections เพื่อสร้างความชอบธรรมตามกฎข้อบังคับในการออกแบบโครงสร้างพื้นฐานที่ทนทาน โดยใช้หลักฐานเชิงประจักษ์ทางวิทยาศาสตร์แทนการคาดเดา
UC-07,DPT,Resilient Urban Planning Guidance,S05: ตัวแปรทางวิศวกรรมเพื่อการออกแบบโครงสร้างพื้นฐาน,"Urban Planning Act, Zoning Restrictions, Green Building Standards",Zoning Maps / Spatial Policy Document,"Variables: Hazard Zonation, Land Use Suitability, Ecosystem Service Value; Resolution: Urban/Neighborhood Scale; Return Periods: 20-year Planning Horizon","ประยุกต์ใช้ตัวแปรภูมิอากาศในงานผังเมืองและระบายน้ำ เพื่อสร้างความเหมาะสมในการนำไปใช้งานของมาตรฐานการออกแบบใหม่ รองรับ Urban Planning Act, Zoning Restrictions, Green Building Standards อย่างมีหลักฐานสนับสนุนที่ชัดเจน"
UC-08,DPT,Climate-Adjusted Rainfall Intensity Tables,S05: ตัวแปรทางวิศวกรรมเพื่อการออกแบบโครงสร้างพื้นฐาน,"Drainage System Redesign, Urban Hydrology Standards",Look-up Tables / CSV,"Variables: IDF Curves, Hourly Rainfall Intensity, Climate Change Factors; Resolution: Station/City Grid; Return Periods: ['10, 25, 50, 100-year']","ประยุกต์ใช้ตัวแปรภูมิอากาศในงานผังเมืองและระบายน้ำ เพื่อสร้างความเหมาะสมในการนำไปใช้งานของมาตรฐานการออกแบบใหม่ รองรับ Drainage System Redesign, Urban Hydrology Standards อย่างมีหลักฐานสนับสนุนที่ชัดเจน"
UC-09,NESDC,Macro-Economic True Loss Reports,S04: การประเมินความสูญเสียและความเสียหายในอดีต,"GDP Forecast Adjustment, National Disaster Reporting, OAG Compliance",Economic Indicator Time-series,"Variables: Direct Asset Damage, Indirect Economic Loss, Supply Chain Disruption Cost; Resolution: Sectoral / National; Return Periods: Event-based",ใช้หลักฐานเชิงประจักษ์จากสถิติความเสียหายจริงเพื่อปรับปรุง Macro-Economic True Loss Reports สร้างความชอบธรรมตามกฎข้อบังคับในการจัดสรรงบประมาณฟื้นฟูและประเมินความคุ้มค่าในระดับมหภาค
UC-10,NESDC,SDG Baseline Indicators,S07: การติดตามและประเมินผลการดำเนินนโยบาย,"SDG Voluntary National Review (VNR) 2025, Milestone 11 Tracking (13th Plan)",Verified Statistical Series,"Variables: SDG 13.1.1 (Death/Affected), Indicator 11.b.2 (DRR Strategy), Unified Baseline Metrics; Resolution: National / Provincial; Return Periods: Annual",ใช้หลักฐานเชิงประจักษ์จากสถิติความเสียหายจริงเพื่อปรับปรุง SDG Baseline Indicators สร้างความชอบธรรมตามกฎข้อบังคับในการจัดสรรงบประมาณฟื้นฟูและประเมินความคุ้มค่าในระดับมหภาค
